1679017937.304233 client started (82777): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1679017937.304339 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1679017937.304413 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1679017937.312370 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312376 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312382 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312388 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.312394 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312400 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312406 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312412 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312418 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312424 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312430 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312436 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312442 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312448 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312454 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.312460 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312466 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312472 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312478 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312484 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312489 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312508 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312521 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312527 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312533 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312540 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312546 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312552 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312558 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312564 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312570 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312576 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312582 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312588 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312594 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312600 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312606 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312612 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312618 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312624 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312630 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312636 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312642 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312648 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312654 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312660 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312666 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312672 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312678 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312684 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312690 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312696 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312702 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312708 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312714 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312720 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312725 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312731 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312737 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312743 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312749 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312755 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312761 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312767 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312773 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312779 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312785 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.312791 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312797 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312813 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312819 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312826 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312832 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312837 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.312843 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312849 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312855 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312861 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312867 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312873 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312879 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312896 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312902 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312909 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312914 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312920 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312926 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312932 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312938 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312944 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312950 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312956 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312962 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312968 sending message 112 to peer 0x130008000 (21 bytes)
1679017937.312974 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312980 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.312986 sending message 112 to peer 0x130008000 (6 bytes)
1679017937.312992 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312998 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.313004 sending message 112 to peer 0x130008000 (24 bytes)
1679017937.313010 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.313016 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.313022 sending message 112 to peer 0x130008000 (16 bytes)
1679017937.313028 sending message 112 to peer 0x130008000 (16 bytes)
1679017937.313033 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.313039 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.313045 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.313051 sending message 112 to peer 0x130008000 (24 bytes)
1679017937.313057 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.313063 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.313069 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.313075 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.313081 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.313087 sending message 112 to peer 0x130008000 (15 bytes)
1679017937.313093 sending message 112 to peer 0x130008000 (5 bytes)
1679017937.313107 sending message 104 to peer 0x130008000 (0 bytes)
1679017937.313114 sending message 110 to peer 0x130008000 (0 bytes)
1679017937.313121 sending message 107 to peer 0x130008000 (4 bytes)
1679017937.313127 sending message 105 to peer 0x130008000 (20 bytes)
1679017937.313133 sending message 105 to peer 0x130008000 (22 bytes)
1679017937.313140 sending message 105 to peer 0x130008000 (15 bytes)
1679017937.313146 sending message 105 to peer 0x130008000 (11 bytes)
1679017937.313152 sending message 105 to peer 0x130008000 (54 bytes)
1679017937.313158 sending message 105 to peer 0x130008000 (388 bytes)
1679017937.313165 sending message 105 to peer 0x130008000 (24 bytes)
1679017937.313171 sending message 105 to peer 0x130008000 (15 bytes)
1679017937.313178 sending message 105 to peer 0x130008000 (66 bytes)
1679017937.313184 sending message 105 to peer 0x130008000 (11 bytes)
1679017937.313190 sending message 105 to peer 0x130008000 (26 bytes)
1679017937.313197 sending message 105 to peer 0x130008000 (51 bytes)
1679017937.313203 sending message 105 to peer 0x130008000 (57 bytes)
1679017937.313209 sending message 105 to peer 0x130008000 (8 bytes)
1679017937.313216 sending message 105 to peer 0x130008000 (30 bytes)
1679017937.313221 sending message 105 to peer 0x130008000 (23 bytes)
1679017937.313228 sending message 105 to peer 0x130008000 (14 bytes)
1679017937.313234 sending message 105 to peer 0x130008000 (19 bytes)
1679017937.313240 sending message 105 to peer 0x130008000 (42 bytes)
1679017937.313246 sending message 105 to peer 0x130008000 (38 bytes)
1679017937.313252 sending message 105 to peer 0x130008000 (8 bytes)
1679017937.313258 sending message 105 to peer 0x130008000 (28 bytes)
1679017937.313279 sending message 105 to peer 0x130008000 (17 bytes)
1679017937.313286 sending message 105 to peer 0x130008000 (30 bytes)
1679017937.313292 sending message 105 to peer 0x130008000 (37 bytes)
1679017937.313298 sending message 105 to peer 0x130008000 (34 bytes)
1679017937.313304 sending message 105 to peer 0x130008000 (34 bytes)
1679017937.313310 sending message 105 to peer 0x130008000 (35 bytes)
1679017937.313316 sending message 105 to peer 0x130008000 (66 bytes)
1679017937.313322 sending message 105 to peer 0x130008000 (76 bytes)
1679017937.313328 sending message 105 to peer 0x130008000 (11 bytes)
1679017937.313334 sending message 105 to peer 0x130008000 (12 bytes)
1679017937.313340 sending message 105 to peer 0x130008000 (13 bytes)
1679017937.313346 sending message 105 to peer 0x130008000 (32 bytes)
1679017937.313352 sending message 105 to peer 0x130008000 (45 bytes)
1679017937.313358 sending message 105 to peer 0x130008000 (7 bytes)
1679017937.313364 sending message 105 to peer 0x130008000 (11 bytes)
1679017937.313370 sending message 105 to peer 0x130008000 (53 bytes)
1679017937.313376 sending message 105 to peer 0x130008000 (14 bytes)
1679017937.313382 sending message 105 to peer 0x130008000 (38 bytes)
1679017937.313393 sending message 105 to peer 0x130008000 (23 bytes)
1679017937.313400 sending message 105 to peer 0x130008000 (30 bytes)
1679017937.313406 sending message 105 to peer 0x130008000 (22 bytes)
1679017937.313412 sending message 105 to peer 0x130008000 (172 bytes)
1679017937.313418 sending message 105 to peer 0x130008000 (19 bytes)
1679017937.313424 sending message 105 to peer 0x130008000 (34 bytes)
1679017937.313430 sending message 106 to peer 0x130008000 (0 bytes)
1679017937.313527 sending message 200 to peer 0x130008000 (4 bytes)
1679017937.313537 client loop enter
1679017937.317826 peer 0x130008000 message 207
1679017937.317857 sending message 208 to peer 0x130008000 (0 bytes)
1679017937.318687 peer 0x130008000 message 203
1679017937.318723 sending message 205 to peer 0x130008000 (0 bytes)
1679017937.318998 peer 0x130008000 message 204
1679017937.319028 client loop exit
